year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,delays
2022,7,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",33,2,0,0,129,98,23,8,0,
2022,7,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",78,25,0,0,1664,887,52,224,0,
2022,7,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",124,19,5,4,1523,388,35,511,0,
2022,7,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",67,10,0,1,657,103,82,93,25,
2022,7,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",174,30,1,0,2462,1686,310,139,0,
2022,7,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",114,16,5,0,1145,131,207,64,0,
2022,7,9E,,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2219,470,8,10,41843,18321,1554,7029,0,
2022,7,9E,,ATW,"Appleton, WI: Appleton International",17,3,0,0,73,43,0,30,0,
2022,7,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",37,4,3,0,301,279,22,0,0,
2022,7,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59,13,7,0,630,195,20,321,0,
2022,7,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",70,10,0,1,477,392,64,15,0,
2022,7,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31,6,0,0,219,150,0,51,0,
2022,7,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",183,33,22,0,2615,633,22,974,0,
2022,7,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",54,12,8,0,724,151,283,217,0,
2022,7,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",26,5,0,0,122,48,0,48,0,
2022,7,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",214,56,23,0,3797,1286,302,1125,0,
2022,7,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",344,72,21,0,7217,3628,119,1011,0,
2022,7,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",88,13,0,1,846,276,136,40,0,
2022,7,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",176,31,14,0,1344,773,81,199,0,
2022,7,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",177,24,14,0,1433,758,105,345,0,
2022,7,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",111,21,11,0,1705,417,0,778,0,
2022,7,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",29,14,1,0,1218,60,506,282,0,
2022,7,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",116,30,0,1,1928,1076,17,347,0,
2022,7,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",139,31,5,1,1747,455,242,564,0,
2022,7,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",216,40,13,3,3671,909,104,647,0,
2022,7,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",96,15,0,0,913,558,27,84,0,
2022,7,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",379,64,33,0,5613,1445,392,777,0,
2022,7,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",291,67,28,0,4614,1740,276,1320,0,
2022,7,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",31,5,0,0,349,164,0,185,0,
2022,7,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",65,15,0,1,1027,381,2,312,0,
2022,7,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",87,12,0,0,611,431,9,66,0,
2022,7,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",555,96,33,0,7574,2371,168,2201,0,
2022,7,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",93,8,0,0,581,149,0,57,116,
2022,7,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",44,8,0,0,504,127,11,318,0,
2022,7,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",171,32,13,0,2403,1409,174,614,0,
2022,7,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",87,21,0,0,2058,1121,88,49,0,
2022,7,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",31,3,0,0,444,325,0,96,0,
2022,7,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",202,32,2,0,2151,859,0,292,0,
2022,7,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1392,216,14,2,19985,9908,453,1128,0,
2022,7,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",36,6,1,0,339,271,0,20,0,
2022,7,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",121,14,19,0,1353,84,147,980,0,
