year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay
2020,7,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",31,4,0,0,332,142,40,26,0
2020,7,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",31,0,0,0,0,0,0,0,0
2020,7,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",13,2,0,0,204,0,125,11,0
2020,7,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",61,5,0,0,228,0,0,127,0
2020,7,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",122,10,1,0,546,326,0,103,0
2020,7,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",116,16,0,0,646,205,140,203,0
2020,7,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3306,239,2,12,15836,7503,944,4095,0
2020,7,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",141,10,0,1,476,348,0,77,0
2020,7,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",120,10,0,0,573,322,14,184,0
2020,7,9E,Endeavor Air Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",5,0,0,0,0,0,0,0,0
2020,7,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",90,4,0,0,158,62,14,20,0
2020,7,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",63,6,0,0,445,173,18,254,0
2020,7,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31,2,0,0,66,0,29,37,0
2020,7,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",6,1,0,0,15,0,0,15,0
2020,7,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",60,7,0,1,353,282,0,71,0
2020,7,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",2,0,0,0,0,0,0,0,0
2020,7,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",31,2,0,0,36,0,0,36,0
2020,7,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",93,12,0,0,878,646,0,158,0
2020,7,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",3,0,0,0,0,0,0,0,0
2020,7,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",61,3,0,0,133,47,0,58,0
2020,7,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",62,7,0,1,305,60,0,102,0
2020,7,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",88,3,0,0,136,51,38,47,0
